S6_DE.02.17982,S6_DE.03.21762,S6_DE.08.4808,S6_GR.10824,S6_GR.3810,S6_GR.5549.D,S6_GR.6296.D,S6_GR.7150,S6_GR.9320,S6_M140,S6_M141,S6_M156,sgID
1,0.812593439827791,0.888886757185259,0.909922606198638,0.830297186310679,0.748118518722464,0.695239578189582,0.776729512659847,0.846424774044674,0.799696652030449,0.895321338003301,0.789921725881006,0.92282083690463,cg13869341
2,0.441230538895175,0.549994558686045,0.3804067909207,0.465874844726859,0.439668407904765,0.425519609418209,0.348728238506974,0.521299491895923,0.440893342107771,0.57252736077099,0.528287046390654,0.554648517953835,cg14008030
3,0.0248788602066781,0.0461152759746873,0.0670936210799926,0.0670450315708119,0.0542270663263844,0.0821376203036417,0.0637327101128566,0.0712187288094617,0.0520735780277855,0.211330213278624,0.261768682243114,0.100942458996661,cg12045430
4,0.174434488766426,0.204667897166152,0.174857579241756,0.190852586224215,0.184011165182046,0.173330091904347,0.157111189610967,0.266883226244242,0.186832396058754,0.298904776020312,0.328073785224145,0.100987556892062,cg20826792
5,0.0458727923605752,0.00799431846539616,0.0392718501008981,0.0533394825773657,0.0533291924836769,0.0398731807117163,0.0446645000613252,0.0297144423739783,0.0422019332460934,0.143710372883124,0.127758833795133,0.0688308374773352,cg00381604
6,0.480691707041982,0.577201219565615,0.476291836266526,0.515587811121827,0.278557649992592,0.425913536697687,0.491207115516047,0.563852970089191,0.455804206451107,0.401647142197296,0.563958890469926,0.582711535834665,cg20253340
7,0.634257962175443,0.70902955843298,0.66517752654934,0.534875346025947,0.222942307867219,0.335048627453901,0.390709004747809,0.37906471091755,0.40737372072749,0.433095925945921,0.81193373746468,0.635484500176953,cg21870274
8,0.0404152130851729,0.181625404997472,0.0352200995012806,0.0752846110630685,0.0540938722181188,0.0187538582716004,0.126075757709001,0.0908624046639551,0.12334982016616,0.180982047968108,0.114180150062592,0.156791617609296,cg03130891
9,0.83520738978149,0.868984720827413,0.857770305970637,0.856916048475728,0.73663077561407,0.896461976041944,0.838216142432384,0.808138719918432,0.721782077587686,0.80144569863158,0.795696480252115,0.811980780210014,cg24335620
10,0.958493715717746,0.945404208896194,0.755090809238725,0.960642081844378,0.543489787315776,0.942035103508582,0.91245411589288,0.95478064807474,0.957614253580944,0.910243671330357,0.937430213262554,0.95203686034714,cg16162899
11,0.901436463901241,0.677824842519151,0.846593674812343,0.762998672174579,0.735135384382433,0.857153555464503,0.746914366557853,0.659979965680432,0.793653067463433,0.525150414330097,0.728825869368369,0.852933873307279,cg17149495
12,0.819786653370811,0.887425148861915,0.899357054240326,0.853157306698419,0.781735598843578,0.894822999160295,0.872628903936203,0.86855224751799,0.938366858260298,0.878099761282154,0.861767140607968,0.960554885274012,cg22802167
13,0.897476792080874,0.884719170992518,0.739051563426308,0.740898021646627,0.891718767963412,0.899225726616497,0.654718370936095,0.85509960635805,0.766180688483224,0.87359953688503,0.898228012372007,0.908393559711953,cg24669183
14,0.136158790531057,0.21615546492049,0.305916594446149,0.194776337620828,0.104226089090275,0.181110415170005,0.0969971261324667,0,0.0474412263455872,0.142978602399352,0.17284630317433,0.129176741355733,cg17308840
15,0.0899836906543136,0.130595336797142,0.143817575641193,0.143141311537187,0.159845691017657,0.163621851847776,0.199188497331617,0.125771965719349,0.149137703904079,0.510534690278145,0.475385372550134,0.428711218696581,cg24159721
16,0.0693217963149229,0.085941551129862,0.142241773146587,0.0954591624414488,0.0933761531791883,0.14875919546622,0.192234295815525,0.0855195467816162,0.0710698036648227,0.33570011833979,0.28980919343202,0.304011989851162,cg15174812
17,0.263788451670713,0.311734907544624,0.303834395418413,0.245221598767832,0.229966424428745,0.346191746010451,0.382368317553507,0.216967150231869,0.20367380867901,0.352306962122854,0.319386936153906,0.400038199006417,cg00034556
18,0.0391317584517644,0.126990432778731,0.0936438341822553,0.0938213421600492,0.0541628128374528,0.129750083330018,0.182526205377787,0.0859953599417158,0.0536854853435068,0.35845389283527,0.354362095450088,0.431016522762787,cg00645010
19,0.107516020623501,0.198000696520317,0.156531905383959,0.120979475553813,0.11176229586694,0.218569471295536,0.233198190466908,0.124405315166241,0.0996883805250854,0.319273770738366,0.294906785785053,0.337184576023727,cg15394630
20,0.0615920012578582,0.107731042903316,0.105048318764093,0.103422789915885,0.101417595841901,0.146734240067449,0.136594178111725,0.0968047036562492,0.0932696601834731,0.346022031875955,0.349251379226495,0.414300909834718,cg05001044
